Starting training for bert-base-cased...
{'loss': '0.3631', 'grad_norm': '6.207', 'learning_rate': '1.979e-05', 'epoch': '0.02228'}
{'loss': '0.1015', 'grad_norm': '0.1634', 'learning_rate': '1.957e-05', 'epoch': '0.04456'}
{'loss': '0.08753', 'grad_norm': '0.1044', 'learning_rate': '1.935e-05', 'epoch': '0.06684'}
{'loss': '0.04943', 'grad_norm': '0.03586', 'learning_rate': '1.913e-05', 'epoch': '0.08913'}
{'loss': '0.07044', 'grad_norm': '0.04284', 'learning_rate': '1.89e-05', 'epoch': '0.1114'}
{'loss': '0.06281', 'grad_norm': '0.03371', 'learning_rate': '1.868e-05', 'epoch': '0.1337'}
{'loss': '0.05866', 'grad_norm': '0.07432', 'learning_rate': '1.846e-05', 'epoch': '0.156'}
{'loss': '0.06555', 'grad_norm': '0.05712', 'learning_rate': '1.824e-05', 'epoch': '0.1783'}
{'loss': '0.04545', 'grad_norm': '0.05815', 'learning_rate': '1.801e-05', 'epoch': '0.2005'}
{'loss': '0.07242', 'grad_norm': '17.06', 'learning_rate': '1.779e-05', 'epoch': '0.2228'}
{'loss': '0.05276', 'grad_norm': '82.07', 'learning_rate': '1.757e-05', 'epoch': '0.2451'}
{'loss': '0.0417', 'grad_norm': '0.01097', 'learning_rate': '1.734e-05', 'epoch': '0.2674'}
{'loss': '0.02143', 'grad_norm': '50.05', 'learning_rate': '1.712e-05', 'epoch': '0.2897'}
{'loss': '0.04513', 'grad_norm': '0.4718', 'learning_rate': '1.69e-05', 'epoch': '0.3119'}
{'loss': '0.03842', 'grad_norm': '0.03922', 'learning_rate': '1.668e-05', 'epoch': '0.3342'}
{'loss': '0.05691', 'grad_norm': '7.914', 'learning_rate': '1.645e-05', 'epoch': '0.3565'}
{'loss': '0.07644', 'grad_norm': '14.72', 'learning_rate': '1.623e-05', 'epoch': '0.3788'}
{'loss': '0.01726', 'grad_norm': '9.622', 'learning_rate': '1.601e-05', 'epoch': '0.4011'}
{'loss': '0.009486', 'grad_norm': '0.005526', 'learning_rate': '1.578e-05', 'epoch': '0.4234'}
{'loss': '0.03353', 'grad_norm': '13.38', 'learning_rate': '1.556e-05', 'epoch': '0.4456'}
{'loss': '0.06092', 'grad_norm': '0.08757', 'learning_rate': '1.534e-05', 'epoch': '0.4679'}
{'loss': '0.04676', 'grad_norm': '0.7933', 'learning_rate': '1.512e-05', 'epoch': '0.4902'}
{'loss': '0.04964', 'grad_norm': '0.02047', 'learning_rate': '1.489e-05', 'epoch': '0.5125'}
{'loss': '0.0359', 'grad_norm': '0.03853', 'learning_rate': '1.467e-05', 'epoch': '0.5348'}
{'loss': '0.0425', 'grad_norm': '0.01904', 'learning_rate': '1.445e-05', 'epoch': '0.557'}
{'loss': '0.03147', 'grad_norm': '0.03456', 'learning_rate': '1.422e-05', 'epoch': '0.5793'}
{'loss': '0.04636', 'grad_norm': '0.1314', 'learning_rate': '1.4e-05', 'epoch': '0.6016'}
{'loss': '0.01221', 'grad_norm': '0.01586', 'learning_rate': '1.378e-05', 'epoch': '0.6239'}
{'loss': '0.0361', 'grad_norm': '4.54', 'learning_rate': '1.356e-05', 'epoch': '0.6462'}
{'loss': '0.006363', 'grad_norm': '0.007678', 'learning_rate': '1.333e-05', 'epoch': '0.6684'}
{'loss': '0.02571', 'grad_norm': '6.046', 'learning_rate': '1.311e-05', 'epoch': '0.6907'}
{'loss': '0.04564', 'grad_norm': '0.02755', 'learning_rate': '1.289e-05', 'epoch': '0.713'}
{'loss': '0.03983', 'grad_norm': '0.689', 'learning_rate': '1.266e-05', 'epoch': '0.7353'}
{'loss': '0.0145', 'grad_norm': '0.067', 'learning_rate': '1.244e-05', 'epoch': '0.7576'}
{'loss': '0.01436', 'grad_norm': '0.009723', 'learning_rate': '1.222e-05', 'epoch': '0.7799'}
{'loss': '0.002238', 'grad_norm': '0.01266', 'learning_rate': '1.2e-05', 'epoch': '0.8021'}
{'loss': '0.04533', 'grad_norm': '0.01824', 'learning_rate': '1.177e-05', 'epoch': '0.8244'}
{'loss': '0.03045', 'grad_norm': '0.01221', 'learning_rate': '1.155e-05', 'epoch': '0.8467'}
{'loss': '0.01076', 'grad_norm': '13.57', 'learning_rate': '1.133e-05', 'epoch': '0.869'}
{'loss': '0.01132', 'grad_norm': '0.01137', 'learning_rate': '1.111e-05', 'epoch': '0.8913'}
{'loss': '0.04458', 'grad_norm': '3.857', 'learning_rate': '1.088e-05', 'epoch': '0.9135'}
{'loss': '0.02464', 'grad_norm': '0.01286', 'learning_rate': '1.066e-05', 'epoch': '0.9358'}
{'loss': '0.01458', 'grad_norm': '0.009762', 'learning_rate': '1.044e-05', 'epoch': '0.9581'}
{'loss': '0.01306', 'grad_norm': '0.007845', 'learning_rate': '1.021e-05', 'epoch': '0.9804'}
{'eval_loss': '0.02231', 'eval_runtime': '16.66', 'eval_samples_per_second': '538.6', 'eval_steps_per_second': '33.67', 'epoch': '1'}
{'loss': '0.01115', 'grad_norm': '0.004892', 'learning_rate': '9.991e-06', 'epoch': '1.003'}
{'loss': '0.0008545', 'grad_norm': '0.003444', 'learning_rate': '9.768e-06', 'epoch': '1.025'}
{'loss': '0.02162', 'grad_norm': '0.003725', 'learning_rate': '9.545e-06', 'epoch': '1.047'}
{'loss': '0.02004', 'grad_norm': '0.2569', 'learning_rate': '9.323e-06', 'epoch': '1.07'}
{'loss': '0.01674', 'grad_norm': '0.0161', 'learning_rate': '9.1e-06', 'epoch': '1.092'}
{'loss': '0.006916', 'grad_norm': '0.007312', 'learning_rate': '8.877e-06', 'epoch': '1.114'}
{'loss': '0.006646', 'grad_norm': '0.01206', 'learning_rate': '8.654e-06', 'epoch': '1.136'}
