Starting training for bert-large-cased...
{'loss': '0.3329', 'grad_norm': '14.24', 'learning_rate': '1.98e-05', 'epoch': '0.02228'}
{'loss': '0.1811', 'grad_norm': '0.09468', 'learning_rate': '1.957e-05', 'epoch': '0.04456'}
{'loss': '0.09498', 'grad_norm': '0.937', 'learning_rate': '1.935e-05', 'epoch': '0.06684'}
{'loss': '0.0972', 'grad_norm': '0.02778', 'learning_rate': '1.913e-05', 'epoch': '0.08913'}
{'loss': '0.1299', 'grad_norm': '0.06024', 'learning_rate': '1.89e-05', 'epoch': '0.1114'}
{'loss': '0.02769', 'grad_norm': '0.02752', 'learning_rate': '1.868e-05', 'epoch': '0.1337'}
{'loss': '0.0665', 'grad_norm': '0.1369', 'learning_rate': '1.846e-05', 'epoch': '0.156'}
{'loss': '0.0662', 'grad_norm': '0.0386', 'learning_rate': '1.824e-05', 'epoch': '0.1783'}
{'loss': '0.03853', 'grad_norm': '0.3738', 'learning_rate': '1.801e-05', 'epoch': '0.2005'}
{'loss': '0.05412', 'grad_norm': '0.06366', 'learning_rate': '1.779e-05', 'epoch': '0.2228'}
{'loss': '0.01842', 'grad_norm': '0.6867', 'learning_rate': '1.757e-05', 'epoch': '0.2451'}
{'loss': '0.03223', 'grad_norm': '0.02489', 'learning_rate': '1.734e-05', 'epoch': '0.2674'}
{'loss': '0.02542', 'grad_norm': '0.01032', 'learning_rate': '1.712e-05', 'epoch': '0.2897'}
{'loss': '0.01442', 'grad_norm': '29.18', 'learning_rate': '1.69e-05', 'epoch': '0.3119'}
{'loss': '0.02376', 'grad_norm': '0.002719', 'learning_rate': '1.668e-05', 'epoch': '0.3342'}
{'loss': '0.07906', 'grad_norm': '3.827', 'learning_rate': '1.646e-05', 'epoch': '0.3565'}
{'loss': '0.06514', 'grad_norm': '5.488', 'learning_rate': '1.623e-05', 'epoch': '0.3788'}
{'loss': '0.03628', 'grad_norm': '6.754', 'learning_rate': '1.601e-05', 'epoch': '0.4011'}
{'loss': '0.003704', 'grad_norm': '0.002235', 'learning_rate': '1.579e-05', 'epoch': '0.4234'}
{'loss': '0.0283', 'grad_norm': '17.83', 'learning_rate': '1.557e-05', 'epoch': '0.4456'}
{'loss': '0.04029', 'grad_norm': '0.009389', 'learning_rate': '1.534e-05', 'epoch': '0.4679'}
{'loss': '0.04211', 'grad_norm': '0.09082', 'learning_rate': '1.512e-05', 'epoch': '0.4902'}
{'loss': '0.02934', 'grad_norm': '0.05807', 'learning_rate': '1.49e-05', 'epoch': '0.5125'}
{'loss': '0.04307', 'grad_norm': '0.0397', 'learning_rate': '1.467e-05', 'epoch': '0.5348'}
{'loss': '0.03371', 'grad_norm': '0.01144', 'learning_rate': '1.445e-05', 'epoch': '0.557'}
{'loss': '0.01251', 'grad_norm': '0.02653', 'learning_rate': '1.423e-05', 'epoch': '0.5793'}
{'loss': '0.02753', 'grad_norm': '0.0376', 'learning_rate': '1.401e-05', 'epoch': '0.6016'}
{'loss': '0.01747', 'grad_norm': '0.01642', 'learning_rate': '1.378e-05', 'epoch': '0.6239'}
{'loss': '0.0341', 'grad_norm': '4.553', 'learning_rate': '1.356e-05', 'epoch': '0.6462'}
{'loss': '0.007852', 'grad_norm': '0.009584', 'learning_rate': '1.334e-05', 'epoch': '0.6684'}
{'loss': '0.01309', 'grad_norm': '0.005139', 'learning_rate': '1.311e-05', 'epoch': '0.6907'}
{'loss': '0.03611', 'grad_norm': '0.02474', 'learning_rate': '1.289e-05', 'epoch': '0.713'}
{'loss': '0.04891', 'grad_norm': '6.49', 'learning_rate': '1.267e-05', 'epoch': '0.7353'}
{'loss': '0.02825', 'grad_norm': '0.01364', 'learning_rate': '1.245e-05', 'epoch': '0.7576'}
{'loss': '0.007188', 'grad_norm': '0.02014', 'learning_rate': '1.222e-05', 'epoch': '0.7799'}
{'loss': '0.0001918', 'grad_norm': '0.003779', 'learning_rate': '1.2e-05', 'epoch': '0.8021'}
{'loss': '0.03577', 'grad_norm': '0.0128', 'learning_rate': '1.178e-05', 'epoch': '0.8244'}
{'loss': '0.0113', 'grad_norm': '0.00539', 'learning_rate': '1.156e-05', 'epoch': '0.8467'}
{'loss': '0.009284', 'grad_norm': '3.563', 'learning_rate': '1.133e-05', 'epoch': '0.869'}
{'loss': '0.01395', 'grad_norm': '0.01467', 'learning_rate': '1.111e-05', 'epoch': '0.8913'}
{'loss': '0.02673', 'grad_norm': '14.15', 'learning_rate': '1.089e-05', 'epoch': '0.9135'}
{'loss': '0.02114', 'grad_norm': '0.002884', 'learning_rate': '1.066e-05', 'epoch': '0.9358'}
{'loss': '0.02119', 'grad_norm': '0.01088', 'learning_rate': '1.044e-05', 'epoch': '0.9581'}
{'loss': '0.006869', 'grad_norm': '0.003513', 'learning_rate': '1.022e-05', 'epoch': '0.9804'}
{'eval_loss': '0.01944', 'eval_runtime': '36.39', 'eval_samples_per_second': '246.6', 'eval_steps_per_second': '15.42', 'epoch': '1'}
